abeceda	abɛt͡sɛda
pandeizmus	pandɛizmus
pane	paɲɛ
panenský	paɲɛnskiː
pani	paɲi
panic	paɲit͡s
pankrác	paŋkraːt͡s
panna	panna
panpsychizmus	panpsixizmus
panteizmus	panteizmus
pančucha	pant͡ʃuxa
papraď	paprac
paprika	paprika
paradajka	paradajka
paris	paris
parochňa	parɔxɲa
parole	parɔɫ
partizán	partizaːn
paríž	pariːʃ
pastier	pasci̯ɛr
pat	pat
patrik	patrik
patriť	patric
patrícia	patriːt͡sia
paulína	pau̯liːna
pavol	pavɔɫ
pavúk	pavuːk
pavúčí	pavuːt͡ʃiː
pazucha	pazuxa
paľo	paʎɔ
pažerák	paʒɛraːk
pec	pɛt͡s
pedagogika	pɛdaɡɔɡika
pederastia	pɛdɛrastia
peha	pɛɦa
pehe	pɛɦɛ
peklo	pɛkɫɔ
pekný	pɛkniː
pekáreň	pɛkaːrɛɲ
pena	pɛna
peniaze	pɛɲi̯azɛ
perinka	pɛriŋka
perla	pɛrɫa
persefona	pɛrsɛfɔna
perspektíva	pɛrspɛktiːva
perzia	pɛrzia
peržan	pɛrʒan
pes	pɛs
pestrý	pɛstriː
peter	pɛtɛr
petra	pɛtra
petronela	pɛtrɔnɛɫa
pečeň	pɛtʃɛɲ
pečiatka	pɛt͡ʃi̯atka
peň	pɛɲ
pešiak	pɛʃi̯ak
peťo	pɛcɔ
piano	pianɔ
piatok	pi̯atok
piaty	pi̯ati
piepor	pi̯ɛpɔr
pieseň	pi̯eseɲ
pieskovisko	pi̯ɛskɔviskɔ
pieskoviská	pi̯ɛskɔviskaː
piesok	pi̯ɛsɔk
piešťany	pi̯ɛʃcani
pijan	pijan
pilier	pili̯ɛr
pipka	pipka
pipík	pipiːk
pitjantjatjara	picancacara
pivnica	pivɲit͡sa
pivo	pivo
pivá	pivaː
pizda	pizda
piť	pic
plamenček	pɫamɛnt͡ʃɛk
plameň	pɫamɛɲ
plamienok	pɫami̯ɛnɔk
planéta	pɫanɛːta
plat	pɫat
platina	pɫatina
platiť	pɫacic
plece	plet͡se
plece	pʎet͡se
plecniak	plɛt͡sɲi̯ak
plný	pl̩niː
plukovník	pɫukɔvɲiːk
plutónium	pɫutɔːnium
plzeň	pɫ̩zɛɲ
plávať	pɫaːvac
pláž	plaːʃ
pneumatika	pnɛumatika
pochodovať	pɔxɔdɔvac
pod	pɔt
podmet	pɔdmɛt
podmienka	pɔdmi̯ɛŋka
podnikateľ	pɔdɲikacɛʎ
podpazušie	pɔtpazuʃi̯ɛ
podprsenka	pɔtpr̩sɛŋka
podpňovka	pɔtpɲɔu̯ka
podujatie	pɔdujaci̯ɛ
podľa	pɔdʎa
pohlavie	pɔɦɫavi̯ɛ
pohár	pɔɦaːr
pohľad	pɔɦʎat
pokoj	pɔkɔj
pokračovať	pɔkrat͡ʃɔvac
pokrievka	pɔkri̯ɛu̯ka
pokým	pɔkiːm
polabčina	pɔɫapt͡ʃina
policajt	pɔlit͡sajt
police	pɔlit͡sɛ
polievka	pɔli̯ɛu̯ka
polievočka	pɔli̯ɛvɔt͡ʃka
politik	pɔlitik
politika	pɔlitika
poloostrov	pɔɫɔɔstrɔu̯
polostrov	pɔɫɔstrɔu̯
polícia	pɔliːt͡sia
polónium	pɔɫɔːnium
pomalý	pɔmaliː
pomaranč	pɔmarant͡ʃ
pomoc	pɔmɔt͡s
pomorník	pɔmɔrɲiːk
pomôcť	pɔmu̯ɔt͡sc
pondelok	pɔnɟɛɫɔk
ponorka	pɔnɔrka
pontifex	po̞ntife̞ks
ponuka	pɔnuka
ponáhľať	pɔnaːɦʎac
pop	pop
popol	pɔpɔɫ
popoludnie	pɔpɔɫudɲi̯ɛ
pornografia	pɔrnɔɡrafia
pornografický	pɔrnɔɡrafit͡skiː
portugalsko	pɔrtuɡaɫskɔ
portugalčina	pɔrtuɡaɫt͡ʃina
posledný	pɔslɛdniː
posteľ	pɔscɛʎ
potok	pɔtɔk
potravina	pɔtravina
potrebný	pɔtrɛbniː
potrebovať	pɔtrɛbɔvac
potôčik	pɔtu̯ɔt͡ʃik
používateľ	pɔuʒiːvacɛʎ
povaha	pɔvaɦa
povedať	pɔvɛdac
povraz	pɔvras
pozdĺž	pɔzdɫ̩ːʃ
poznaň	pɔznaɲ
poznať	pɔznac
počas	pɔt͡ʃas
počasie	pɔt͡ʃasi̯ɛ
počet	pɔt͡ʃɛt
počty	pɔt͡ʃti
počuť	pɔt͡ʃuc
počúvať	pɔt͡ʃuːvac
poľnohospodárstvo	pɔʎnɔɦɔspɔdaːrstvɔ
poľsko	pɔʎskɔ
poľština	pɔʎʃcina
pošta	poʃta
požiar	pɔʒi̯ar
požičať	pɔʒit͡ʃac
pracháč	praxaːt͡ʃ
praha	praɦa
prajazyk	prajazik
prasa	prasa
pravda	prau̯da
pravdami	pravdami
pravde	prau̯ɟɛ
pravdou	pravdou̯
pravdu	pravdu
pravdy	pravdi
pravdách	pravdaːx
pravdám	pravdaːm
pravoslav	pravɔsɫau̯
pravý	praviː
prazeodým	prazɛɔdiːm
pražan	praʒan
pražský	praʃskiː
prdieť	pr̩ɟi̯ɛc
predať	prɛdac
predkožka	prɛtkɔʃka
predložka	prɛdɫɔʃka
predmestie	prɛdmɛsci̯ɛ
predsa	prɛtsa
predseda	prɛtsɛda
premiéra	prɛmiɛːra
premávka	prɛmaːu̯ka
prepáčiť	prɛpaːt͡ʃic
pretekať	prɛcɛkac
preteky	prɛcɛki
pretekár	prɛcɛkaːr
pretože	prɛtɔʒɛ
preukaz	preukaz
preukázať	prɛukaːzac
prezident	prɛzidɛnt
prezývka	prɛziːu̯ka
preč	prɛt͡ʃ
prečo	pretʃo
prešov	prɛʃɔu̯
prešporok	prɛʃpɔrɔk
prežúvavec	prɛʒuːvavɛt͡s
priateľ	pri̯acɛʎ
priateľka	pri̯acɛʎka
priehlavok	pri̯ɛɦɫavɔk
priestor	pri̯ɛstɔr
priezvisko	pri̯ɛzviskɔ
priečinok	pri̯ɛt͡ʃinɔk
primusieť	primusi̯ɛc
princ	print͡s
princezná	print͡sɛznaː
prinútiť	prinuːcic
program	prɔɡram
prokop	prɔkɔp
prométium	prɔmɛːtium
prostredie	prɔstrɛɟi̯ɛ
protaktínium	prɔtaktiːnium
protirečiť	prɔcirɛt͡ʃic
protivný	prɔcivniː
protojazyk	prɔtɔjazik
prozódia	prɔzɔːdia
prsia	pr̩si̯a
prsník	pr̩sɲiːk
prsteň	pr̩scɛɲ
prvosienka	pr̩vɔsi̯ɛŋka
prvočíslo	pr̩vɔt͡ʃiːsɫɔ
prvý	pr̩viː
práca	praːt͡sa
právd	praːvd
práve	praːvɛ
prázdniny	praːzdɲini
prázdny	praːzdni
príchod	priːxɔt
príklad	priːkɫat
prímerie	priːmɛri̯ɛ
prípad	priːpat
príroda	priːrɔda
príslovia	priːsɫɔvi̯a
príslovie	priːsɫɔvi̯ɛ
príslovka	priːsɫɔu̯ka
prísudok	priːsudɔk
prísť	priːsc
próza	pro̞ːza
pršať	pr̩ʃac
psica	psit͡sa
psiemu	psi̯ɛmu
psychológia	psixɔɫɔːɡia
psí	psiː
puma	puma
puška	puʃka
pytón	pitɔːn
pyžamo	piʒamɔ
pálenka	paːlɛŋka
páliť	paːlic
pán	paːn
pápež	paːpɛʃ
párnokopytník	paːrnɔkɔpitɲiːk
párny	paːrni
pásavka	paːsau̯ka
pásomnica	paːsɔmɲit͡sa
páv	paːu̯
páví	paːviː
päsť	pæsc
päsť	pɛsc
päta	pæta
päta	pɛta
pätica	pæcit͡sa
pätica	pɛcit͡sa
pätnásť	pætnaːsc
pätnásť	pɛtnaːsc
päť	pæc
päť	pɛc
písať	piːsac
písmeno	piːsmɛnɔ
píšťalôčka	piːʃcaɫu̯ɔt͡ʃka
pôvod	pu̯ɔvɔt
pôžička	pu̯ɔʒit͡ʃka
púpava	puːpava
púšť	puːʃc
pýcha	piːxa
pľuť	pʎuc
pľúca	pʎuːt͡sa
pŕhľavka	pr̩ːɦʎau̯ka
pšenica	pʃɛɲit͡sa
pšenice	pʃɛɲit͡sɛ
pštros	pʃtrɔs
pštrosí	pʃtrɔsiː
rabín	rabiːn
rad	rat
radoslav	radɔsɫau̯
radovan	radɔvan
radón	radɔːn
radúz	raduːs
rajčina	rajt͡ʃina
rak	rak
rakúsko	rakuːskɔ
rakúsky	rakuːski
rameno	ramɛnɔ
rasca	rast͡sa
rastislav	rascisɫau̯
rastlina	rastlina
rasťo	rascɔ
raz	ras
raňajkovať	raɲajkɔvac
raňajky	raɲajki
raž	raʃ
rebro	rɛbrɔ
regína	rɛɡiːna
renáta	rɛnaːta
rené	rɛnɛː
republika	rɛpublika
revue	rɛvy
rezance	rɛzant͡sɛ
reč	rɛt͡ʃ
reštaurácia	rɛʃtau̯raːt͡sia
riad	ri̯at
riaditeľ	ri̯aɟicɛʎ
riadiť	ri̯aɟic
richard	rixart
riedky	ri̯ɛtki
rieka	ri̯ɛka
riečka	ri̯ɛt͡ʃka
rimanom	rimanɔm
ringlota	riŋɡɫɔta
riti	rici
rití	riciː
riziko	rizikɔ
riť	ric
robota	rɔbɔta
robotník	rɔbɔtɲiːk
rodina	rɔɟina
rodinný	rɔɟinniː
roentgenium	rœnɡɛnium
roentgenium	rɛnɡɛnium
roh	rɔx
roj	rɔj
rok	rɔk
rokov	rɔkɔu̯
roland	rɔɫant
roman	rɔman
rovnaký	rɔvnakiː
rozdeliť	rɔzɟɛlic
rozhodnutie	rɔzɦɔdnuci̯ɛ
rozhodnúť	rɔzɦɔdnuːc
rozmarín	rɔzmariːn
rozmaznaný	rɔzmaznaniː
rozmaznať	rɔzmaznac
rozsobáš	rɔssɔbaːʃ
roztomilý	rɔstɔmiliː
rozum	rɔzum
rozumieť	rɔzumi̯ɛc
rozumný	rɔzumniː
rozália	rɔzaːlia
roční	rɔt͡ʃniː
ročný	rɔt͡ʃniː
roľa	rɔʎa
rožok	rɔʒɔk
rubídium	rubiːdium
ruda	ruda
rudo	rudɔ
rudolf	rudɔɫf
ruka	ruka
ruksak	ruksak
rumanček	rumant͡ʃɛk
rumunsko	rumunskɔ
rumunčina	rumunt͡ʃina
runa	runa
rus	rus
ruska	ruska
rusko	ruskɔ
ruský	ruskiː
rutherfordium	radzɛfɔrdium
ruténium	rutɛːnium
ručička	rut͡ʃit͡ʃka
rušeň	ruʃɛɲ
ruština	ruʃcina
ruža	ruʒa
ružena	ruʒɛna
ryba	riba
rybár	ribaːr
rybí	ribiː
rys	ris
rysy	risi
rytier	rici̯ɛr
ryšavec	riʃavɛt͡s
ryšiak	riʃi̯ak
ryža	riʒa
ráb	raːp
rád	raːd
rádium	raːdium
rátať	raːtac
ráz	raːs
rénium	rɛːnium
ríbezľa	riːbɛzʎa
rím	riːm
rímsky	riːmski
róbert	rɔːbɛrt
ródium	rɔːdium
róm	rɔːm
rómka	rɔːmka
röntgen	rœntɡɛn
röntgen	rɛntɡɛn
röntgenovať	rœntɡɛnɔvac
röntgenovať	rɛntɡɛnɔvac
rúno	ruːnɔ
rút	ruːt
rúčka	ruːt͡ʃka
rúž	ruːʃ
rýchlosť	riːxlɔsc
rýchly	riːxli
s	s
sa	sa
sabína	sabiːna
sad	sad
sakristia	sakristia
samoa	samɔa
samodruhý	samɔdruɦiː
samovražda	samɔvraʒda
samuel	samuɛɫ
samuraj	samuraj
samurajka	samurajka
samárium	samaːrium
sardínia	sardiːnia
saša	saʃa
sať	sac
schod	sxɔt
schody	sxɔdi
schopnosť	sxɔpnɔsc
schopný	sxɔpniː
schudnúť	sxudnuːc
schéma	sxɛːma
scípio	st͡siːpiɔ
seaborgium	siːbɔrɡium
seba	sɛba
sebe	sɛbɛ
sebec	sɛbɛt͡s
sedem	sɛɟɛm
sedemnásť	sɛɟɛmnaːsc
segedín	sɛɡɛdiːn
segment	seɡment
sekera	sɛkɛra
sekunda	sɛkunda
sekúnd	sɛkuːnt
selén	sɛlɛːn
semeno	sɛmɛnɔ
sen	sɛn
sendvič	sɛndvit͡ʃ
seno	sɛnɔ
sepsa	sɛpsa
september	sɛptɛmbɛr
sergej	sɛrɡɛj
servus	sɛrvus
servác	sɛrvaːt͡s
sestra	sɛstra
sestrin	sɛstrin
sestrička	sɛstrit͡ʃka
severín	sɛvɛriːn
sex	sɛks
sexu	sɛksu
shetland	ʃɛtlɛnt
shetlandský	ʃɛtlɛndskiː
shetlandy	ʃɛtlɛndi
siaha	si̯aɦa
sidónia	sidɔːnia
siedmy	si̯ɛdmi
silvia	siɫvia
simona	simɔna
sirôtka	siru̯ɔtka
sirôtočka	siru̯ɔtɔt͡ʃka
situácia	situaːt͡sia
skala	skaɫa
skald	skaɫt
sklo	skɫɔ
skorocel	skɔrɔt͡sɛɫ
skratka	skratka
skrutka	skrutka
skrutkovač	skrutkɔvat͡ʃ
skrutkovať	skrutkɔvac
skuhroš	skuɦrɔʃ
skupáň	skupaːɲ
slabý	sɫabiː
sladký	sɫatkiː
slanina	sɫaɲina
slavomír	sɫavɔmiːr
slavomíra	sɫavɔmiːra
slavónsko	sɫavɔːnskɔ
slepý	slɛpiː
sliepka	sli̯ɛpka
sliepočka	sli̯ɛpɔt͡ʃka
sliezsko	sli̯ɛsskɔ
slimák	slimaːk
slivka	sliu̯ka
slivovica	slɪvovɪtsa
slnce	sɫ̩nt͡sɛ
slnečný	sɫ̩ɲɛt͡ʃniː
slniečko	sɫ̩ɲi̯ɛt͡ʃkɔ
slnko	sɫ̩ŋkɔ
sloboda	sɫɔbɔda
sloj	sɫɔj
slon	sɫɔn
slonica	slɔnit͡sa
sloní	sɫɔɲiː
slovan	sɫɔvan
slovanský	sɫɔvanskiː
slovenka	sɫɔvɛŋka
slovensky	sɫɔvɛnski
slovenskí	sɫɔvɛnskiː
slovenský	sɫɔvɛnskiː
slovenčina	sɫɔvɛnt͡ʃina
sloveso	sɫɔvɛsɔ
slovinec	sɫɔviɲɛt͡s
slovinka	sɫɔviŋka
slovinsko	sɫɔvinskɔ
slovinský	sɫɔvinskiː
slovinčina	sɫɔvint͡ʃina
slovník	sloʋɲiːk
slovníka	sɫoʋɲiːka
slovníkmi	sɫoʋɲiːkmi
slovníkoch	sɫoʋɲiːkox
slovníkom	sɫoʋɲiːkom
slovníkov	sɫoʋɲiːkou̯
slovníku	sɫoʋɲiːku
slovníky	sɫoʋɲiːki
slovo	sɫɔvɔ
slováci	sɫɔvaːt͡si
slovák	sɫɔvaːk
sluch	sɫux
sluha	sɫuɦa
slzička	sɫ̩zit͡ʃka
sláva	sɫaːva
slávka	sɫaːu̯ka
sláčik	sɫaːt͡ʃik
smetiar	smɛci̯ar
smiech	smi̯ɛx
smotana	smɔtana
smrekovec	smrɛkɔvɛt͡s
smrti	smr̩ci
smrtonosný	smr̩tɔnɔsniː
smutný	smutniː
smäd	smæt
smäd	smɛt
smädiť	smæɟic
smädiť	smɛɟic
smädný	smedniː
smädný	smædniː
snežiť	sɲɛʒic
snob	snɔp
snáď	snaːc
so	sɔ
sobota	sɔbɔta
sobáš	sɔbaːʃ
socha	sɔxa
socialistický	sɔt͡sialistit͡skiː
socializmus	sɔt͡sializmus
sociálny	sɔt͡siaːɫni
sodík	sɔɟiːk
sofoniáš	sɔfɔniaːʃ
softvér	sɔftvɛːr
sojka	sɔjka
sokol	so̞ko̞l
sokrates	sɔkratɛs
som	sɔm
somarina	sɔmarina
somár	sɔmaːr
sopka	sɔpka
sova	sɔva
sovietsky	sɔvi̯ɛtski
soľ	sɔʎ
soňa	sɔɲa
spajvér	spajvɛːr
spať	spac
spln	spɫ̩n
spojka	spɔjka
spoločnosť	spɔɫɔt͡ʃnɔsc
spraviť	spravic
sprcha	spr̩xa
správa	spraːva
správať	spraːvac
spyware	spajvɛːr
spálňa	spaːɫɲa
spôsob	spu̯ɔsɔp
spŕška	spr̩ːʃka
srať	srac
srbsko	sr̩pskɔ
srbský	sr̩pskiː
srdca	sr̩t͡sa
srdcia	sr̩t͡si̯a
srdciach	sr̩t͡si̯ax
srdciam	sr̩t͡si̯am
srdciami	sr̩t͡si̯ami
srdcom	sr̩t͡sɔm
srdcu	sr̩t͡su
srdiečko	sr̩ɟi̯ɛt͡ʃkɔ
srna	sr̩na
srvátka	sr̩vaːtka
stalaktit	staɫaktit
stan	stan
stanislav	staɲisɫau̯
stanislava	staɲisɫava
starec	starɛt͡s
starena	starɛna
starká	starkaː
starký	starkiː
starogréčtina	starɔɡrɛːt͡ʃcina
starostlivosť	starɔstlivɔsc
starý	stariː
starček	start͡ʃɛk
starší	starʃiː
ste	scɛ
stehlík	scɛɦʎiːk
stela	stɛɫa
stena	scɛna
sto	stɔ
stolička	stɔlit͡ʃka
storočie	storot͡ʃi̯e
strach	strax
strachmi	straxmi
strachoch	straxox
strachom	straxom
strachov	straxou̯
strachu	straxu
strachy	straxi
straka	straka
strana	strana
strategický	stratɛɡit͡skiː
strecha	strɛxa
streda	streda
stredník	strɛdɲiːk
strela	strɛɫa
strelec	strɛlɛt͡s
stretnutie	strɛtnuci̯ɛ
stretnúť	strɛtnuːc
striebro	stri̯ɛbrɔ
striga	striɡa
strmý	str̩miː
stroj	strɔj
stroja	strɔja
stroje	strɔjɛ
stroji	strɔji
strojmi	strɔjmi
strojoch	strɔjɔx
strojom	strɔjɔm
strojov	strɔjɔu̯
stroju	strɔju
strom	strɔm
stromami	strɔmami
strome	strɔmɛ
stromoch	strɔmɔx
stromom	strɔmɔm
stromov	strɔmɔu̯
stromu	strɔmu
stromy	strɔmi
stroncium	strɔnt͡sium
struk	struk
strukovina	strukɔvina
strukoviny	strukɔvini
struna	struna
stryná	strinaː
strážiť	straːʒic
strúčik	struːt͡ʃik
strýc	striːt͡s
stupidita	stupɪdɪta
stále	staːlɛ
stáť	staːc
stôl	stu̯ɔɫ
suchý	suxiː
sudca	sutt͡sa
sudetský	sʊdɛtskiː
sudety	sudɛti
sujet	suʒɛt
sujet	syʒɛ
sujet	syʒɛt
suka	suka
sukienka	suki̯ɛŋka
sukne	sukɲɛ
sukničkár	sukɲit͡ʃkaːr
sukňa	sukɲa
sup	sup
sušič	suʃit͡ʃ
sušička	suʃit͡ʃka
svadobný	svadɔbniː
svahilčina	svaɦiɫt͡ʃina
svastika	svastika
svastiku	svastiku
svedomie	svɛdɔmi̯e
svedomí	svɛdɔmiː
svet	svɛt
sveta	svɛta
svete	svɛcɛ
svetlana	svɛtɫana
svetlo	svɛtɫɔ
svetmi	svɛtmi
svetoch	svɛtɔx
svetom	svɛtɔm
svetov	svɛtɔu̯
svetový	svɛtɔviː
svetozár	svɛtɔzaːr
svetu	svɛtu
svety	svɛti
sveťo	svɛcɔ
svieca	svi̯ɛt͡sa
sviečka	svi̯ɛt͡ʃka
sviečkach	svi̯ɛt͡ʃkax
sviečkam	svi̯ɛt͡ʃkam
sviečkami	svi̯ɛt͡ʃkami
sviečke	svi̯ɛt͡ʃkɛ
sviečkou	svi̯ɛt͡ʃkɔu̯
sviečku	svi̯ɛt͡ʃku
sviečky	svi̯ɛt͡ʃki
sviečok	svi̯ɛt͡ʃɔk
sviečočka	svi̯ɛt͡ʃɔt͡ʃka
svoj	svɔj
svokor	svɔkɔr
svokra	svɔkra
svätopluk	svætɔpɫuk
svätopluk	svɛtɔpɫuk
svätyňa	svɛtiɲa
svätý	svetiː
svätý	svætiː
synergia	sinɛrɡia
synovia	sinovi̯a
syntax	sintaks
syntaxe	sintaksɛ
syntéza	sintɛːza
synáčik	sinaːt͡ʃik
synček	sint͡ʃɛk
syr	sir
sága	saːɡa
sára	saːra
sídlo	siːdɫɔ
síra	siːra
sôch	su̯ox
sôvä	su̯ɔvæ
sôvä	su̯ɔvɛ
súd	suːt
súdruh	suːdrux
súkromný	suːkrɔmniː
súlož	suːɫɔʃ
súostrovie	suːɔstrɔvi̯ɛ
súper	suːpɛr
súrne	suːrnɛ
súrne	suːrɲɛ
súrny	suːrni
sústava	suːstava
súčasný	suːt͡ʃasniː
súťaž	suːcaʃ
sýkorka	siːkɔrka
sýria	siːria
sýrsky	siːrski
sŕňa	sr̩ːɲa
tabak	tabak
tabu	tabu
tadžik	tad͡ʒik
tadžikistan	tad͡ʒikistan
takmer	takmɛr
taký	takiː
takýto	takiːtɔ
taliansko	tali̯anskɔ
taliansky	tali̯anski
taliančina	tali̯ant͡ʃina
tam	tam
tamara	tamara
tamhľa	tamɦʎa
tanec	taɲet͡s
tango	taŋɡɔ
tangá	taŋɡaː
tanier	taɲi̯ɛr
tanierik	taɲi̯ɛrik
tantal	tantaɫ
tapeta	tapɛta
tatiana	tati̯ana
tatry	tatri
technológia	tɛxnɔɫɔːɡia
technécium	tɛxnɛːt͡sium
tehla	cɛɦɫa
tehlička	cɛɦʎit͡ʃka
teizmus	tɛizmus
tekvica	cɛkvit͡sa
tela	cɛɫa
telami	cɛɫami
tele	cɛlɛ
telefón	tɛlɛfɔːn
teleskop	tɛlɛskɔp
telo	cɛɫɔ
telom	cɛɫɔm
telu	cɛɫu
telá	cɛɫaː
telách	cɛɫaːx
telám	cɛɫaːm
telíčko	cɛʎiːt͡ʃkɔ
telúr	tɛɫuːr
temešvár	tɛmɛʃvaːr
temnota	cɛmnɔta
temný	cɛmniː
ten	tɛn
tenký	cɛŋkiː
teodor	tɛɔdɔr
teológia	tɛɔɫɔːɡia
tepať	cɛpac
teplý	cɛpliː
teraz	tɛras
terbium	tɛrbium
terminológia	tɛrminɔɫɔːɡia
terst	tɛrst
terézia	tɛrɛːzia
testosterón	tɛstɔstɛrɔːn
tesť	cɛsc
teta	cɛta
teľa	cɛʎa
tiahnuť	ci̯aɦnuc
tibetčina	tibɛtt͡ʃina
tibor	cibɔr
tichomír	cixɔmiːr
tiel	ci̯ɛɫ
tieň	ci̯ɛɲ
tiež	ci̯ɛʃ
tigris	tiɡris
tigriňa	tiɡriɲa
timotej	timɔtɛj
tisa	cisa
tisíc	cisiːt͡s
tisíci	cisiːt͡si
titán	titaːn
tkáč	tkaːt͡ʃ
tkáčka	tkaːt͡ʃka
tlač	tɫat͡ʃ
tlačiť	tɫat͡ʃic
tlačovka	tɫat͡ʃɔu̯ka
tlmač	tɫ̩mat͡ʃ
tlmočník	tɫ̩mɔt͡ʃɲiːk
tlstý	tɫ̩stiː
tma	tma
tmavý	tmaviː
tobôž	tɔbu̯ɔʃ
toho	tɔɦɔ
tok	tɔk
tokio	tɔkiɔ
tokoferol	tɔkɔfɛrɔɫ
tomáš	tɔmaːʃ
topánka	tɔpaːŋka
topánky	tɔpaːŋki
topánočka	tɔpaːnɔt͡ʃka
totalitarizmus	tɔtalitarizmus
tovar	tɔvar
toxický	toksit͡skiː
traktor	traktɔr
treba	trɛba
tretí	trɛciː
trhu	tr̩ɦu
tri	tri
tridsať	trit͡sac
triesočka	tri̯ɛsɔt͡ʃka
triezvy	tri̯ɛzvi
trinásť	trinaːsc
trolejbus	trɔlɛjbus
trona	trɔna
tráva	traːva
tráviaci	traːvi̯at͡si
trávička	traːvit͡ʃka
tuk	tuk
tuleň	tulɛɲ
tupý	tupiː
tur	tur
turecko	turɛt͡skɔ
turek	turɛk
turista	turista
turistika	turistika
turizmus	turizmus
turkyňa	turkiɲa
turnaj	turnaj
tučniak	tut͡ʃɲi̯ak
tužka	tuʃka
tvaroh	tvarɔx
tvoj	tvɔj
tvrdza	tvr̩d͡za
tvár	tvaːr
ty	ti
tábor	taːbɔr
tágo	taːɡɔ
tálium	taːlium
téma	te̞ːma
tórium	tɔːrium
túlium	tuːlium
týždeň	tiːʒɟɛɲ
tŕnie	tr̩ːɲi̯ɛ
ubehlík	ubɦɛliːk
ucho	uxɔ
udrieť	udri̯ɛc
ufňukaný	ufɲukaniː
uhlie	uhʎi̯ɛ
uhličitý	uɦʎit͡ʃitiː
uhlík	uɦʎiːk
uhol	uɦɔɫ
uhorka	uɦɔrka
ujec	ujɛt͡s
ujo	ujɔ
ujček	ujt͡ʃɛk
ukrajina	ukrajina
ukrajinský	ukrajinskiː
ukrajinčina	ukrajint͡ʃina
ulica	uɫit͡sa
ulica	uʎit͡sa
ulicami	uɫit͡sami
ulicami	uʎit͡sami
ulice	uɫit͡se
ulice	uʎit͡se
ulici	uɫit͡si
ulici	uʎit͡si
uliciach	uɫit͡si̯ax
uliciach	uʎit͡si̯ax
uliciam	uɫit͡si̯am
uliciam	uʎit͡si̯am
ulicou	uɫit͡sɔw
ulicou	uʎit͡sɔw
ulicu	uɫit͡su
ulicu	uʎit͡su
ulíc	uɫiːt͡s
ulíc	uʎiːt͡s
um	um
umenie	umɛɲi̯ɛ
umrieť	umri̯ɛc
univerzita	univɛrzita
univerzitný	univɛrzitniː
upratať	upratac
upír	upiːr
urban	urban
urgentný	urɡɛntniː
urobiť	urɔbic
urtikárie	urtikaːriɛ
uruguaj	uruɡvaj
urán	uraːn
určite	urt͡ʃicɛ
uršuľa	urʃuʎa
utečenec	ucɛt͡ʃɛɲɛt͡s
utešený	ucɛʃɛniː
utorok	utɔrɔk
uzbek	uzbek
uzbekistan	uzbɛkistan
uško	uʃkɔ
ušnica	uʃɲit͡sa
užitočnosť	uʒitɔt͡ʃnɔsc
užitočný	uʒitɔt͡ʃniː
užovka	uʒɔu̯ka
užívateľ	uʒiːvacɛʎ
užší	uʃiː
vagína	vaɡiːna
vajce	vajt͡sɛ
valach	vaɫax
valaška	vaɫaʃka
valašsko	vaɫaʃskɔ
valašský	vaɫaʃskiː
valentín	valɛntiːn
valentína	valɛntiːna
valkýra	vaɫkiːra
valér	valɛːr
valéria	valɛːria
valčík	vaɫt͡ʃiːk
vanda	vanda
vankúš	vaŋkuːʃ
vanuatu	vanuatu
vanád	ʋanaːt
varšava	ʋarʃaʋa
vasil	vasiɫ
vavrinec	vavriɲɛt͡s
vaňa	vaɲa
vaše	ʋaʃe
vdov	vdɔu̯
vdovami	vdɔvami
vdove	vdɔvɛ
vdovou	vdɔvɔu̯
vdovu	vdɔvu
vdovy	vdɔvi
vdovách	vdɔvaːx
vdovám	vdɔvaːm
vec	vɛt͡s
vedec	vɛɟɛt͡s
vedieť	vɛɟi̯ɛc
vedro	vɛdrɔ
vedľa	vɛdʎa
veko	vɛkɔ
vendelín	vɛndɛliːn
verejný	vɛrɛjniː
veronika	vɛrɔɲiːka
ves	ʋes
vestibul	vɛstibuɫ
veternica	vɛcɛrɲit͡sa
vetva	vɛtva
veverica	vɛvɛrit͡sa
večer	vɛt͡ʃɛr
večera	vɛt͡ʃɛra
večes	ʋetʃes
veľa	vɛʎa
veľký	vɛʎkiː
veľmi	vɛʎmi
veža	vɛʒa
vežička	vɛʒit͡ʃka
viac	vi̯at͡s
vianoce	vi̯anɔt͡sɛ
viať	vi̯ac
vidiecky	viɟi̯ɛt͡ski
vidieť	viɟi̯ɛc
vidlička	vidʎit͡ʃka
viedenský	vi̯ɛɟɛnskiː
viedeň	vi̯ɛɟɛɲ
viera	vi̯ɛra
vieroslava	vi̯ɛrɔsɫava
viesť	vi̯ɛsc
vietnam	vi̯ɛtnam
vietor	vi̯ɛtɔr
viezť	vi̯ɛsc
viking	vikiŋɡ
viktor	viktɔr
viktória	viktɔːria
viliam	viliam
vilma	viɫma
vilnius	viɫɲi̯us
vincent	vint͡sɛnt
vinš	vinʃ
viola	viɔɫa
visla	visɫa
vitamín	vitamiːn
vitráž	ʋitraːʃ
vladimír	vɫaɟimiːr
vladimíra	vɫaɟimiːra
vladislav	vɫaɟisɫau̯
vlaha	vɫaɦa
vlajočka	vɫajɔt͡ʃka
vlani	vɫaɲi
vlas	vɫas
vlasta	vɫasta
vlastimil	vɫascimiɫ
vlastný	vɫastniː
vlasť	ʋɫasc
vlha	ʋɫ̩ɦa
vlkolak	vɫ̩kɔɫak
vlna	vɫ̩na
